[604.909, 244.457]
[652.363, 243.876]
[697.123, 244.521]
[740.979, 246.397]
[782.783, 249.637]
[819.847, 252.822]
[601.992, 268.537]
[652.784, 268.532]
[702.419, 269.136]
[750.688, 271.127]
[794.784, 273.816]
[834.088, 277.539]
[599.401, 298.869]
[653.786, 299.086]
[709.258, 300.09]
[760.779, 300.983]
[808.082, 303.233]
[849.801, 305.691]
[594.724, 335.809]
[655.544, 336.611]
[716.445, 336.283]
[773.248, 337.14]
[822.988, 337.519]
[866.466, 339.407]
[229.633, 380.61]
[253.091, 386.458]
[214.491, 448.355]
[231.343, 470.151]
[1070.57, 373.356]
[1075.88, 372.453]
[1076.86, 420.234]
[1079.5, 412.458]
[357.892, 269.089]
[440.852, 255.901]
[311.86, 342.14]
[399.497, 338.75]
[932.534, 270.999]
[980.227, 282.396]
[978.233, 343.373]
[1018.11, 345.434]
