[441.243, 352.07]
[501.061, 351.674]
[567.701, 351.513]
[638.502, 351.413]
[709.36, 351.504]
[776.187, 351.655]
[412.683, 388.439]
[479, 390.126]
[555.453, 391.305]
[638.391, 391.677]
[721.308, 391.301]
[797.947, 390.174]
[377.849, 436.02]
[450.711, 442.197]
[539.233, 446.49]
[638.023, 448.482]
[736.972, 446.572]
[825.889, 442.483]
[336.495, 498.348]
[415.581, 512.983]
[517.853, 525.123]
[637.498, 530.026]
[757.719, 525.352]
[860.71, 513.499]
[210.115, 354.737]
[276.991, 353.627]
[125.619, 430.808]
[174.906, 451.329]
[969.947, 353.396]
[1049.47, 354.543]
[1077.68, 460.919]
[1139.67, 436.823]
