[526.02, 223.605]
[582.036, 221.05]
[640.368, 220.183]
[698.592, 221.11]
[754.549, 223.709]
[806.527, 227.776]
[512.865, 258.194]
[575.195, 255.507]
[640.448, 254.674]
[705.72, 255.566]
[767.861, 258.303]
[824.403, 261.915]
[497.549, 301.885]
[566.849, 300.213]
[640.501, 299.548]
[714.297, 300.249]
[783.469, 301.974]
[844.883, 304.569]
[479.79, 357.884]
[557.169, 357.877]
[640.639, 357.859]
[724.408, 357.884]
[801.382, 357.916]
[867.894, 358.015]
[266.262, 260.681]
[348.631, 244.211]
[199.759, 357.942]
[274.958, 357.986]
[962.837, 250.119]
[1034.08, 265.878]
[1034.77, 357.846]
[1097.02, 358.073]
