[470.228, 218.63]
[503.661, 215.593]
[539.134, 213.215]
[576.189, 211.368]
[614.207, 210.37]
[652.683, 210.288]
[457.445, 235.66]
[492.903, 232.569]
[530.825, 230.044]
[570.711, 228.219]
[612.018, 227.191]
[653.78, 226.978]
[443.001, 255.667]
[480.634, 252.624]
[521.315, 250.15]
[564.502, 248.282]
[609.438, 247.236]
[655.115, 247.081]
[426.667, 279.469]
[466.586, 276.597]
[510.296, 274.315]
[557.203, 272.559]
[606.421, 271.547]
[656.612, 271.427]
[117.416, 344.688]
[134.169, 342.181]
[83.6969, 393.5]
[95.8527, 397.637]
[1029.91, 332.498]
[1078.04, 336.319]
[1092.17, 425.503]
[1131.71, 414.546]
[298.33, 246.144]
[358.705, 234.019]
[246.588, 300.306]
[305.468, 291.728]
[798.6, 217.741]
[887.392, 228.676]
[840.2, 278.462]
[939.56, 287.639]
