[610.591, 508.166]
[674.25, 507.801]
[735.47, 505.189]
[791.706, 499.609]
[841.942, 491.353]
[885.404, 482.192]
[608.508, 553.299]
[680.087, 552.636]
[748.546, 547.755]
[810.429, 539.266]
[864.094, 527.354]
[909.122, 514.272]
[606.446, 607.702]
[687.254, 606.815]
[763.799, 598.033]
[831.593, 584.456]
[888.183, 567.595]
[934.302, 549.666]
[604.552, 670.392]
[695.234, 668.528]
[780.48, 655.628]
[853.683, 635.36]
[912.608, 612.144]
[959.395, 587.622]
[213.892, 412.871]
[249.308, 431.842]
[172.252, 454.616]
[197.76, 487.664]
[1107, 391.57]
[1118.79, 383.333]
[1137.17, 416.965]
[1144.26, 404.951]
[298.631, 452.909]
[393.901, 482.096]
[235.658, 526.742]
[325.716, 592.002]
[1001.15, 446.236]
[1047.92, 426.281]
[1063.86, 509.341]
[1097.95, 472.551]
