[405.894, 398.021]
[463.359, 398.627]
[527.47, 398.525]
[595.307, 397.46]
[662.492, 394.65]
[725.281, 390.438]
[380.935, 428.571]
[445.146, 431.437]
[518.744, 433.165]
[598.215, 432.172]
[676.436, 428.445]
[747.823, 421.548]
[350.754, 467.465]
[421.49, 475.626]
[507.26, 480.55]
[596.49, 481.831]
[689.987, 474.755]
[777.259, 462.703]
[315.274, 517.489]
[392.223, 534.57]
[485.529, 547.838]
[599.46, 548.932]
[712.468, 537.287]
[808.264, 517.394]
[195.701, 385.641]
[252.401, 391.418]
[134.363, 434.747]
[171.504, 459.46]
[903.079, 370.283]
[973.042, 358.729]
[999.479, 438.872]
[1046.45, 404.928]
