[433.537, 360.473]
[492.292, 356.986]
[558.632, 352.792]
[630.364, 348.096]
[702.264, 345.42]
[770.352, 342.711]
[406.914, 396.905]
[471.099, 395.343]
[547.096, 392.281]
[631.225, 387.439]
[715.949, 383.118]
[793.715, 378.54]
[375.506, 444.625]
[444.552, 446.708]
[531.705, 445.967]
[632.671, 443.312]
[734.197, 436.485]
[823.918, 426.656]
[340.292, 504.594]
[413.39, 516.497]
[513.101, 523.856]
[635.235, 523.29]
[758.568, 511.423]
[862.18, 492.787]
[229.533, 374.834]
[282.924, 370.311]
[173.343, 445.382]
[207.037, 462.761]
[957.241, 336.228]
[1026.32, 334.958]
[1054.71, 428.973]
[1099.87, 404.474]
