[475.939, 380.843]
[536.621, 382.62]
[604.738, 383.138]
[676.375, 383.188]
[746.713, 382.728]
[811.629, 381.622]
[448.113, 410.588]
[516.11, 414.384]
[594.804, 416.473]
[679.522, 416.735]
[762.495, 415.322]
[836.699, 412.543]
[413.313, 449.064]
[488.779, 457.81]
[581.624, 464.188]
[684.589, 463.727]
[784.181, 460.623]
[869.737, 452.325]
[370.998, 499.467]
[452.895, 518.81]
[568.64, 531.414]
[697.64, 534.094]
[813.855, 525.256]
[911.511, 507.262]
[257.289, 368.477]
[315.964, 372.903]
[192.05, 416.83]
[227.005, 440.601]
[989.589, 376.395]
[1055.11, 372.246]
[1086.21, 446.995]
[1127.64, 423.879]
