[315.048, 439.598]
[353.418, 446.15]
[399.357, 452.681]
[453.177, 457.856]
[513.826, 461.656]
[579.377, 463.558]
[291.259, 472.585]
[329.814, 483.121]
[377.809, 493.25]
[435.763, 502.5]
[503.393, 509.46]
[577.441, 512.457]
[267.513, 509.495]
[305.932, 524.815]
[355.396, 540.841]
[416.96, 555.529]
[491.689, 566.82]
[575.502, 572.243]
[244.823, 549.971]
[283.127, 571.743]
[332.911, 594.8]
[398.045, 616.679]
[479.85, 634.87]
[574.558, 643.476]
[124.744, 375.676]
[135.093, 382.427]
[103.305, 403.761]
[110.345, 415.026]
[989.063, 408.139]
[1028.93, 394.639]
[1051.31, 475.409]
[1078.55, 446.631]
[180.092, 402.39]
[217.584, 415.605]
[137.623, 456.559]
[164.213, 485.551]
[822.003, 444.631]
[932.66, 423.404]
[901.257, 576.553]
[1008.1, 512.146]
