[457.007, 395.461]
[516.968, 396.516]
[583.159, 398.494]
[652.707, 399.48]
[719.82, 399.438]
[782.343, 397.768]
[432.734, 431.474]
[499.806, 435.324]
[576.229, 438.495]
[656.675, 439.712]
[734.88, 438.565]
[805.068, 434.888]
[403.822, 477.53]
[477.778, 486.648]
[566.877, 493.294]
[662.374, 494.69]
[753.448, 491.168]
[832.125, 483.185]
[370.372, 535.774]
[451.861, 554.294]
[555.165, 566.933]
[669.364, 569.509]
[776.453, 561.15]
[863.974, 544.552]
[235.121, 382.915]
[295.475, 387.455]
[173.037, 445.393]
[213.019, 471.903]
[954.196, 389.228]
[1018.5, 382.698]
[1038.22, 477.775]
[1083.57, 447.193]
