[682.465, 426.29]
[745.628, 426.664]
[805.135, 425.141]
[858.277, 422.377]
[903.907, 419.292]
[942.49, 414.938]
[682.599, 471.247]
[754.545, 471.202]
[820.402, 467.385]
[877.952, 461.491]
[926.023, 455.085]
[965.173, 447.591]
[682.591, 528.421]
[764.274, 526.6]
[837.706, 519.259]
[899.836, 508.648]
[949.443, 496.649]
[988.911, 484.649]
[682.347, 597.329]
[774.607, 593.214]
[855.447, 580.414]
[921.752, 562.219]
[972.872, 543.836]
[1012.14, 525.574]
[249.086, 361.783]
[289.35, 374.299]
[200.217, 413.395]
[228.082, 441.402]
[1133.46, 369.081]
[1143.95, 364.55]
[1158.88, 403.306]
[1165.88, 394.338]
[344.45, 387.645]
[451.604, 407.7]
[270.67, 474.569]
[372.145, 532.456]
[1044.22, 397.272]
[1084.99, 386.383]
[1098.65, 468.924]
[1127.54, 441.991]
