[368.35, 430.522]
[402.819, 437.926]
[444.586, 445.418]
[493.536, 452.811]
[549.952, 458.708]
[611.732, 462.867]
[345.39, 462.223]
[380.133, 473.139]
[422.545, 484.7]
[474.56, 495.309]
[530.383, 502.976]
[599.566, 509.401]
[322.525, 496.957]
[356.492, 512.551]
[399.688, 529.182]
[447.942, 543.237]
[509.641, 557.695]
[589.816, 567.99]
[301.339, 534.939]
[334.391, 555.881]
[372.187, 575.418]
[424.082, 598.305]
[493.934, 620.021]
[581.418, 636.157]
[191.025, 363.308]
[201.579, 369.602]
[169.955, 391.567]
[178.67, 402.845]
[1041.2, 417.512]
[1085.49, 403.925]
[1103.48, 496.957]
[1133.92, 460.507]
[244.293, 390.548]
[279.337, 405.088]
[203.329, 443.611]
[228.355, 472.332]
[857.822, 452.59]
[978.473, 432.868]
[920.236, 599.465]
[1050.01, 531.383]
