[411.041, 416.878]
[469.419, 417.627]
[535.524, 419.496]
[606.477, 420.479]
[676.796, 419.769]
[742.637, 417.577]
[385.568, 456.476]
[449.55, 460.607]
[524.992, 463.789]
[606.997, 465.446]
[688.702, 464.155]
[763.651, 459.577]
[356.304, 505.608]
[425.834, 516.133]
[511.551, 524.018]
[607.854, 526.669]
[703.66, 523.377]
[788.688, 514.696]
[324.399, 565.804]
[398.691, 586.046]
[496.083, 601.57]
[604.023, 608.396]
[721.688, 601.117]
[817.13, 583.526]
[203.612, 405.425]
[258.834, 409.484]
[146.034, 472.548]
[182.821, 499.869]
[926.493, 406.356]
[994.775, 399.025]
[1010.67, 506.618]
[1059.95, 471.282]
