[533.672, 419.656]
[597.484, 422.409]
[666.684, 423.402]
[736.569, 423.526]
[803.293, 422.581]
[862.704, 420.55]
[509.703, 458.606]
[581.74, 463.542]
[661.653, 465.887]
[743.474, 466.271]
[819.728, 463.737]
[886.235, 459.044]
[480.255, 508.771]
[561.666, 519.354]
[655.052, 525.054]
[751.551, 524.645]
[839.82, 518.959]
[913.198, 508.686]
[445.515, 571.529]
[535.502, 591.102]
[644.97, 603.275]
[765.056, 603.413]
[861.937, 589.668]
[941.985, 569.728]
[288.168, 397.301]
[355.475, 405.546]
[215.928, 461.387]
[263.704, 494.102]
[1019.21, 408.211]
[1074.78, 400.087]
[1091.44, 497.499]
[1128.13, 466.42]
