[369.401, 426.191]
[403.208, 434.055]
[442.99, 442.225]
[489.102, 450.526]
[541.508, 458.127]
[598.571, 464.574]
[346.985, 457.113]
[380.548, 468.209]
[421.654, 479.589]
[470.373, 491.381]
[526.703, 501.999]
[589.429, 510.628]
[324.417, 491.644]
[357.707, 506.321]
[399.159, 522.103]
[450.113, 538.074]
[510.557, 553.181]
[579.414, 564.987]
[302.571, 528.612]
[335.396, 548.248]
[377.049, 568.856]
[429.612, 590.745]
[493.918, 610.872]
[568.793, 626.862]
[188.203, 357.148]
[199.478, 364.456]
[162.563, 389.325]
[170.243, 400.735]
[1011.12, 448.503]
[1058.43, 436.915]
[1060.49, 532.228]
[1099.36, 502.19]
[242.621, 383.546]
[279.518, 398.931]
[198.536, 438.766]
[226.414, 468.363]
[826.433, 470.746]
[946.387, 458.658]
[870.27, 615.271]
[1001.41, 566.406]
