[691.426, 467.245]
[747.805, 470.65]
[799.653, 471.467]
[845.785, 471.24]
[885.996, 469.322]
[920.317, 466.724]
[693.529, 513.262]
[756.061, 515.298]
[812.242, 514.263]
[861.293, 510.767]
[902.757, 505.913]
[937.651, 500.754]
[695.673, 567.699]
[764.527, 567.655]
[825.111, 562.993]
[876.656, 555.676]
[919.713, 546.898]
[954.676, 537.668]
[697.278, 629.696]
[772.545, 626.75]
[837.009, 617.052]
[891.36, 604.591]
[935.288, 590.665]
[970.501, 576.928]
[276.456, 338.264]
[330.109, 345.198]
[221.421, 386.867]
[265.708, 408.659]
[1079.21, 409.786]
[1093.24, 407.37]
[1106.02, 448.664]
[1116.63, 442.037]
[348.5, 406.507]
[465.577, 435.54]
[276.559, 503.731]
[399.586, 570.421]
[1012.92, 454.68]
[1051.97, 446.484]
[1054.73, 531.429]
[1086.53, 507.511]
